Rank|Song|Total Points|Number Ones|Total Listeners
217|Quavo - LOSE IT (feat. Lil Baby)|39.5|0|7
218|Nicki Minaj - Good Form|39.5|0|6
219|slayyyter - I'm High|39.5|1|3
220|Taylor Swift - Look What You Made Me Do|39.0|0|10
221|Charli XCX - Unlock It (feat. Kim Petras & Jay Park)|39.0|0|6
222|Maggie Rogers - Fallingwater|39.0|0|5
223|Maggie Rogers - On + Off|39.0|0|4
224|Phoebe Ryan - Heart Attack (feat. Tove Lo)|39.0|0|3
225|Taylor Swift - All You Had To Do Was Stay|38.5|0|9
226|Allie X - Science|38.5|0|7
226|Charli XCX - Backseat (feat. Carly Rae Jepsen)|38.5|0|7
226|Zedd, Maren Morris & Grey - The Middle|38.5|0|7
229|Troye Sivan - Animal|38.5|0|5
230|Bruce Springsteen - Dancing in The Dark|38.5|1|4
231|Lil' Wayne - Mona Lisa (feat. Kendrick Lamar)|38.0|0|10
232|Taylor Swift - Dancing with Our Hands Tied|38.0|0|7
233|Run The Jewels - Let's Go (The Royal We)|38.0|0|6
234|Lorde - Team|38.0|2|5
235|(G)I-DLE - HANN (Alone)|38.0|0|3
236|Tove Styrke - Changed My Mind|37.5|0|4
237|Kendrick Lamar - m.A.A.d city|37.0|0|6
238|Mitski - Geyser|37.0|0|4
239|Taylor Swift - Getaway Car|36.5|0|8
239|Taylor Swift - This Is Why We Can't Have Nice Things|36.5|0|8
241|Grimes - Kill V. Maim|36.5|0|6
242|Kim Petras - Can't Do Better|36.5|0|5
243|Demi Lovato - Cool for The Summer|36.5|0|4
244|Sigala - Just Got Paid|36.5|0|3
245|Taylor Swift - State Of Grace|36.0|0|6
246|Cast - Parking Lot - Dialogue|36.0|0|4
246|Taylor Swift - This Love|36.0|0|4
248|Taylor Swift - ...Ready For It?|35.5|0|8
249|Loona - Favorite|35.5|0|6
250|Billie Eilish & Khalid - Lovely|35.5|0|5
251|Camila Cabello - Consequences|35.5|0|4
251|Empress Of - I Don't Even Smoke Weed|35.5|0|4
251|Mariah Carey - The Distance (feat. Ty Dolla $ign)|35.5|0|4
254|Ella Mai - Good Bad|35.0|0|9
254|St. Vincent - Happy Birthday, Johnny - piano version|35.0|0|9
256|Quavo - SWING (feat. Normani & Davido)|35.0|0|5
257|Lorde - Liability|35.0|1|4
258|City Morgue - 33rd Blakk Glass|35.0|0|4
258|WJSN - SAVE ME, SAVE YOU|35.0|0|4
260|Lorde - 400 Lux|34.5|1|8
261|BROCKHAMPTON - WEIGHT|34.5|0|7
262|The Carters - Apeshit|34.5|0|6
263|David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana)|34.5|0|5
263|Nina Nesbitt - Loyal To Me|34.5|0|5
265|NCT 127 - Knock On|34.5|0|4
266|Red Velvet - Dumb Dumb|34.5|0|3
267|Ariana Grande - Get Well Soon|34.0|0|7
268|Ella Mai - Run My Mouth|34.0|0|5
269|Beach House - LEMON GLOW|33.5|0|6
269|Billie Eilish - Bellyache|33.5|0|6
271|Christine and The Queens - Girlfriend (feat. Dâm-Funk)|33.5|0|5
271|Clarence Clarity - Vapid Feels Ain't Vapid|33.5|0|5
271|Lady Gaga - Telephone (feat. Beyoncé)|33.5|0|5
274|Empress Of - When I'm with Him|33.5|1|3
275|Lady Gaga - Poker Face|33.0|0|8
276|Allie X - Casanova|33.0|0|5
276|bazzi - Beautiful (feat. Camila Cabello)|33.0|0|5
276|Lady Gaga - John Wayne|33.0|0|5
276|Mariah Carey - GTFO|33.0|0|5
280|Dagny - Wearing Nothing|33.0|0|4
280|Ella Mai - Whatchamacallit (feat. Chris Brown)|33.0|0|4
282|NCT 127 - Run Back 2 U - Bonus Track|33.0|1|3
283|LOOΠΔ - Perfect Love|33.0|0|3
284|Red Velvet - Power Up|32.5|0|7
285|LIL UZI VERT - XO TOUR Llif3|32.5|0|6
286|Cheat Codes - Home|32.5|0|5
287|Cast - Somewhere Over The Rainbow - Dialogue|32.5|0|4
288|Taylor Swift - Better Than Revenge|32.5|0|3
289|Drake - Nonstop|32.0|0|6
289|Lady Gaga - The Cure|32.0|0|6
291|Lauv - I Like Me Better|32.0|1|5
292|Coin - Simple Romance|32.0|2|4
293|Kids See Ghosts - Freeee (Ghost Town Pt. 2)|32.0|0|3
293|Red Velvet - Russian Roulette|32.0|0|3
295|SunMi - Siren|31.5|1|7
296|Lorde - Supercut|31.5|0|7
296|Rita Ora - Girls (feat. Cardi B, Bebe Rexha & Charli XCX)|31.5|0|7
298|LIL PUMP - Multi Millionaire (feat. Lil Uzi Vert)|31.5|1|5
298|MØ - Way Down|31.5|1|5
300|Cast - Scene 98 - Dialogue|31.5|0|5
301|Taylor Swift - Red|31.5|0|4
302|A Pink - I'm So Sick|31.5|1|3
303|St. Vincent - Smoking Section - piano version|31.0|0|10
304|Selena Gomez - Bad Liar|31.0|0|7
305|Carly Rae Jepsen - Boy Problems|31.0|1|5
306|Little Dragon - Lover Chanting|31.0|0|5
307|6ix9ine - FEFE (feat. Nicki Minaj & Murda Beatz)|31.0|0|4
307|Free Nationals - Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra)|31.0|0|4
309|Kids See Ghosts - Kids See Ghosts|31.0|1|3
310|BLACKPINK - DDU-DU DDU-DU|30.5|0|7
311|Major Lazer - Blow That Smoke|30.5|0|5
312|Little Mix - Move|30.5|0|3
312|NCT 127 - Fly Away with Me|30.5|0|3
312|slayyyter - Platform Shoes|30.5|0|3
315|Ella Mai - Sauce|30.0|0|9
316|BROCKHAMPTON - New Orleans|30.0|0|8
317|Lorde - Tennis Court|30.0|0|7
318|Anne-Marie - 2002|30.0|0|6
319|Miley Cyrus - We Can't Stop|30.0|1|4
320|Jess Glynne - Million Reasons|30.0|0|4
321|Eminem - KILLSHOT|30.0|2|2
322|AdriAnne Lenker - from|29.5|1|5
323|Taylor Swift - Begin Again|29.5|0|5
324|Seulgi - Wow Thing|29.5|0|4
325|Dean Lewis - Be Alright|29.5|0|3
325|Troye Sivan - Wild|29.5|0|3
327|Justin Hurwitz - The Landing|29.5|1|2
328|Kali Uchis - Tyrant (feat. Jorja Smith)|29.0|0|8
329|Jonas Blue - Polaroid|29.0|0|7
330|Charli XCX - Track 10|29.0|1|6
331|Ella Mai - Dangerous|29.0|0|6
331|Taylor Swift - How You Get The Girl|29.0|0|6
333|Carly Rae Jepsen - fever|29.0|1|5
334|Panic! at The Disco - Say Amen (Saturday Night)|29.0|0|5
335|6ix9ine - STOOPID|29.0|0|4
335|Halsey - Ghost|29.0|0|4
337|Thomston - The Heights|29.0|1|3
338|Empress Of - Love for Me|29.0|0|3
338|Julia Holter - Words I Heard|29.0|0|3
340|Angèle - Tout oublier|29.0|1|2
340|Seven Lions - First Time|29.0|1|2
340|The Parcels - Comedown|29.0|1|2
343|Florence + The Machine - Hunger|28.5|0|9
343|Troye Sivan - Dance To This (feat. Ariana Grande)|28.5|0|9
345|Jess Glynne - Intro|28.5|0|7
345|Taylor Swift - Style|28.5|0|7
347|Clean Bandit - Solo (feat. Demi Lovato)|28.5|1|6
348|Carly Rae Jepsen - LA Hallucinations|28.5|0|6
348|Kanye West - Runaway|28.5|0|6
350|Muna - I Know A Place|28.5|0|5
350|Rina Sawayama - Take Me as I Am|28.5|0|5
352|Lil' Wayne - Let It Fly (feat. Travis Scott)|28.5|0|4
352|NCT 127 - Interlude: Regular To Irregular|28.5|0|4
352|Post Malone - Psycho (feat. Ty Dolla $ign)|28.5|0|4
355|BTS - Serendipity (Full Length Edition)|28.5|1|3
355|Charli XCX - Trophy|28.5|1|3
357|Future - Fine China|28.5|0|3
358|Kanye West - Lost In The World|28.5|1|2
359|AdriAnne Lenker - terminal paradise|28.0|0|5
359|AdriAnne Lenker - womb|28.0|0|5
359|Carly Rae Jepsen - Roses|28.0|0|5
362|Taylor Swift - Forever & Always|28.0|1|4
363|BROCKHAMPTON - FABRIC|28.0|0|4
363|Julien Baker - Me & My Dog|28.0|0|4
363|Kacey Musgraves - Follow Your Arrow|28.0|0|4
363|Mac Miller - What's The Use?|28.0|0|4
367|CHVRCHES - Graffiti|28.0|1|2
368|Millie Turner - Night Running|28.0|0|2
368|SCARLXRD - PARANXID|28.0|0|2
370|Taylor Swift - New Romantics|27.5|1|7
371|Charli XCX - Vroom Vroom|27.5|0|6
372|St. Vincent - Fast Slow Disco|27.5|0|5
373|Travi$ Scott - CAN'T SAY|27.5|0|4
374|NCT 127 - No Longer|27.5|1|3
375|Dinah Jane - Bottled Up (feat. Ty Dolla $ign & Marc E. Bassy)|27.5|0|3
376|Twenty One Pilots - Heavydirtysoul|27.5|0|2
376|Twenty One Pilots - Ode To Sleep|27.5|0|2
378|Dua Lipa - Blow Your Mind (Mwah)|27.0|0|9
379|George Ezra - Shotgun|27.0|0|4
380|Charli XCX - Taxi|27.0|0|3
380|Taylor Swift - The Last Time|27.0|0|3
380|Taylor Swift - The Story Of Us|27.0|0|3
383|5 Seconds Of Summer - Ghost Of You|27.0|1|2
383|Alex Lahey - I Haven't Been Taking Care Of Myself|27.0|1|2
383|Frank Ocean - Thinkin Bout You|27.0|1|2
386|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|27.0|0|2
387|Carly Rae Jepsen - Making The Most Of The Night|26.5|1|6
388|Lady Gaga - Judas|26.5|0|6
389|Allie X - Catch|26.5|1|4
390|Lorde - Glory and Gore|26.5|0|4
391|Kanye West - Frank's Track|26.5|1|3
391|LOOΠΔ - 열기|26.5|1|3
391|Paloma Faith - Loyal|26.5|1|3
394|Kacey Musgraves - Velvet Elvis|26.5|0|3
394|Kids See Ghosts - 4th Dimension|26.5|0|3
394|Paramore - Fake Happy|26.5|0|3
394|Tommy Genesis - 100 Bad - Charli XCX Remix|26.5|0|3
398|Bebe Rexha - I'm a Mess|26.5|1|2
398|Tiffany Young - Teach You|26.5|1|2
398|Tinashe - Like I Used To|26.5|1|2
401|Jesse McCartney - Wasted|26.5|0|2
401|Sophie - Is It Cold In The Water?|26.5|0|2
403|LSD - Genius|26.0|1|4
404|Aminé - REEL IT IN|26.0|0|4
404|Lana Del Rey - Ultraviolence|26.0|0|4
404|Pusha T - Come Back Baby|26.0|0|4
404|Tove Styrke - Say My Name|26.0|0|4
408|Kali Uchis - Your Teeth In My Neck|26.0|0|3
409|Fleetwood Mac - Gold Dust Woman - 2004 Remastered Edition|26.0|0|2
409|Muna - Loudspeaker|26.0|0|2
409|St. Vincent - Young Lover|26.0|0|2
412|Paramore - Hard Times|25.5|0|7
413|Charli XCX - Lucky|25.5|0|6
413|Lorde - Perfect Places|25.5|0|6
415|Kacey Musgraves - Happy & Sad|25.5|0|5
415|Kacey Musgraves - Merry Go 'Round|25.5|0|5
417|BROCKHAMPTON - BERLIN|25.5|0|4
417|Charli XCX - Babygirl (feat. Uffie)|25.5|0|4
417|Charlie Puth - Attention|25.5|0|4
417|Kali Uchis - Just A Stranger (feat. Steve Lacy)|25.5|0|4
417|Paramore - Still into You|25.5|0|4
417|St. Vincent - Sugarboy (piano version)|25.5|0|4
417|Troye Sivan - What a Heavenly Way To Die|25.5|0|4
424|Rico Nasty - Smack A Bitch|25.5|1|3
425|Eminem - Venom|25.5|0|3
425|Julien Baker - Bite The Hand|25.5|0|3
427|David Bowie - "Heroes" - 2017 Remastered Version|25.5|1|2
427|Little Mix - Salute|25.5|1|2
429|Beach House - Black Car|25.5|0|2
429|Marc E. Bassy - Simma (feat. Guapdad 4000)|25.5|0|2
429|Mitski - Why Didn't You Stop Me?|25.5|0|2
429|MNEK - Tongue|25.5|0|2
429|They. - What I Know Now (feat. Wiz Khalifa)|25.5|0|2
434|Shawn Mendes - In My Blood|25.0|0|5
435|Ariana Grande - Love Me Harder|25.0|0|4
436|Banks - Gemini Feed|25.0|1|3
437|Allie X - Bitch|25.0|0|3
437|Foster The People - Sit Next To Me|25.0|0|3
437|Pinegrove - Angelina|25.0|0|3
437|Sabrina Carpenter - Almost Love|25.0|0|3
441|Tritonal - U Found Me|25.0|1|2
442|Dave - Funky Friday|25.0|0|2
442|Drake - Mob Ties|25.0|0|2
442|Lany - If You See Her|25.0|0|2
442|Seventeen - Oh My!|25.0|0|2
446|Shawn Mendes - Lost In Japan|24.5|0|7
447|Frank Ocean - Chanel|24.5|0|6
447|Tove Lo - Disco Tits|24.5|0|6
449|Aly & AJ - Take Me|24.5|0|4
449|Girls' Generation-Oh!GG - Lil' Touch|24.5|0|4
449|St. Vincent - New York|24.5|0|4
452|Carly Rae Jepsen - Emotion|24.5|0|3
452|Cast - Trust Me - Dialogue|24.5|0|3
452|Halsey - Is There Somewhere|24.5|0|3
452|Lana Del Rey - Love|24.5|0|3
452|Pusha T - If You Know You Know|24.5|0|3
452|Riton - Fake ID|24.5|0|3
452|Riton - Ginger|24.5|0|3
459|Alvvays - Adult Diversion|24.5|1|2
459|Charlotte Lawrence - Stole Your Car|24.5|1|2
459|Gryffin - Tie Me Down (with Elley Duhé)|24.5|1|2
462|Lorde - Swingin Party|24.5|0|2
462|TWICE - LIKEY|24.5|0|2
464|Kero Kero Bonito - Rest Stop|24.0|0|10
465|Drake - Nice For What|24.0|0|5
