Rank|Song|Total Points|Number Ones|Total Listeners
440|Selena Gomez - Hands To Myself|16.0|0|3
440|Galimatias - Blowback|16.0|1|2
440|Ariana Grande - The Way|16.0|0|3
440|Grimes - Pin|16.0|1|2
474|Lana Del Rey - West Coast|15.5|0|6
474|The Weeknd - Starboy (feat. Daft Punk)|15.5|0|3
474|Paramore - Caught in the Middle|15.5|0|3
474|Azealia Banks - 212 (feat. Lazy Jay)|15.5|0|2
474|Tove Lo - Talking Body|15.5|0|3
474|Selena Gomez - Same Old Love|15.5|0|3
474|Soccer Mommy - Allison|15.5|0|2
474|Ariana Grande - Thinking Bout You|15.5|0|5
474|X Ambassadors - Ahead of Myself|15.5|0|2
474|Ariana Grande - Dangerous Woman|15.5|0|4
474|Khalid - LOCATION|15.5|0|3
474|Belle and Sebastian - Piazza, New York Catcher|15.5|0|2
474|Charli XCX - Blame It On You|15.5|0|5
474|The Weeknd - Often|15.5|0|3
488|Steve Angello - Show Me Love|15.0|1|1
488|Ramin Djawadi - Light Of The Seven|15.0|0|2
488|Róisín O - Give It Up|15.0|1|1
488|The National - The System Only Dreams in Total Darkness|15.0|1|1
488|Josef Salvat - Open Season|15.0|0|2
488|Panic! at the Disco - This Is Gospel|15.0|1|1
488|Bastille - An Act Of Kindness|15.0|1|1
488|Marc Anthony - Tu Amor Me Hace Bien - Salsa Version|15.0|1|1
488|Taylor Swift - The Moment I Knew|15.0|0|5
488|Buddy Holly - Everyday|15.0|1|1
488|Avenged Sevenfold - Runaway (feat. Warren Fitzgerald)|15.0|1|1
488|Wolf Alice - Turn To Dust|15.0|1|1
488|Heize - You, Clouds, Rain (feat. Shin Yong Jae)|15.0|1|1
488|Pentakill - Mortal Reminder|15.0|1|1
488|French Montana - A Lie (feat. The Weeknd & Max B)|15.0|1|1
488|Marvin Gaye - I Heard It Through The Grapevine (Mono)|15.0|1|1
488|Rex Orange County - UNO|15.0|1|1
488|Danny Brown - When It Rain|15.0|1|1
488|Muna - I Know A Place|15.0|0|2
488|Radiohead - Daydreaming|15.0|1|1
488|Radiohead - Everything in Its Right Place|15.0|0|2
488|Fun Boy Three - Our Lips Are Sealed|15.0|1|1
488|Dance Gavin Dance - The Backwards Pumpkin Song|15.0|1|1
488|Lady Gaga - Dance in the Dark|15.0|0|3
488|Kesha - Animal|15.0|1|1
488|Brave Girls - Deepened|15.0|1|1
488|Sia - Elastic Heart|15.0|0|2
488|Miike Snow - Genghis Khan|15.0|0|2
488|Kita Alexander - Hotel|15.0|1|1
488|Aminé - Heebiejeebies - Bonus|15.0|0|5
488|Calvin Harris - How Deep is your love|15.0|1|1
488|The Weeknd - Sidewalks (feat. Kendrick Lamar)|15.0|0|2
488|Kanye West - Flashing Lights|15.0|0|3
488|Sjur - What Do I Do|15.0|1|1
488|Aslyn - Me & You & Daisies|15.0|1|1
488|Neil Diamond - Sweet Caroline|15.0|1|1
488|Tinashe - Ghetto Boy|15.0|1|1
488|Petal - Comeback|15.0|1|1
488|Gucci Mane - Both (feat. Drake)|15.0|1|1
488|OneRepublic - Wherever I Go|15.0|0|2
488|Katie Ellen - Bleeding Heart|15.0|1|1
488|Skrillex - Would You Ever|15.0|0|3
488|Madonna - Ghosttown|15.0|1|1
488|MisterWives - Machine|15.0|1|1
