Rank|Song|Total Points|Number Ones|Total Listeners
172|Christine and The Queens - Doesn't matter|52.0|0|8
173|Christine and The Queens - The walker|52.0|1|6
174|MØ - Imaginary Friend|51.5|0|8
175|Twenty One Pilots - Morph|51.0|0|9
176|Twenty One Pilots - Cut My Lip|51.0|0|7
177|Beach House - Alien|51.0|0|5
178|Cardi B - I Like It (feat. Bad Bunny & J Balvin)|50.5|0|11
179|Future - Hard Work Pays Off|50.5|0|5
180|Taylor Swift - Blank Space|50.0|1|10
181|Poppy - Fashion After All|49.5|0|7
182|Poppy - Hard Feelings|49.5|1|5
183|Billie Eilish - Bellyache|49.0|0|6
184|FROMIS_9 - Love Bomb|48.5|1|4
185|Lorde - Ribs|48.0|0|9
185|Rihanna - Disturbia|48.0|0|9
187|MØ - Intro|48.0|0|6
188|Kali Uchis - Dead To Me|48.0|0|5
189|MØ - Red Wine (feat. Empress Of)|47.5|0|6
190|5 Seconds Of Summer - Killer Queen|47.5|1|5
190|Dua Lipa - Running|47.5|1|5
192|Clean Bandit - Solo (feat. Demi Lovato)|47.5|0|5
193|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|47.0|0|7
193|Rina Sawayama - Cherry|47.0|0|7
195|Taylor Swift - Call It What You Want|46.5|1|12
196|Julia Holter - Words I Heard|46.5|0|10
197|Kanye West & Lil Pump - I Love It (feat. Adele Givens)|46.5|1|7
198|Tyler, The Creator - You're A Mean One, Mr. Grinch|46.5|1|4
199|Ariana Grande - The Light Is Coming (feat. Nicki Minaj)|46.0|0|8
199|Camila Cabello - Consequences - orchestra|46.0|0|8
201|Carly Rae Jepsen - Fever|46.0|0|7
201|Mitski - Nobody|46.0|0|7
203|Grimes - Flesh Without Blood|46.0|0|5
204|Lil' Wayne - Mona Lisa (feat. Kendrick Lamar)|45.5|1|9
205|Kim Petras - All The Time|45.5|0|8
206|Joji - WHY AM I STILL IN LA (feat. Shlohmo & D33J)|45.5|0|7
206|Vera Blue - All The Pretty Girls|45.5|0|7
208|Mitski - Geyser|45.5|1|6
209|Taylor Swift - Delicate (Seeb Remix)|45.0|2|5
210|The Aces - Volcanic Love|45.0|0|5
211|Janelle Monáe - Make Me Feel|44.5|0|9
211|Lorde - Perfect Places|44.5|0|9
213|Kiiara - 1%|44.5|0|6
214|Kesha - Thinking Of You|44.5|1|4
215|Jon Bellion - Conversations with my Wife|44.5|0|4
216|Nao - Drive and Disconnect|44.0|0|8
217|Twenty One Pilots - Neon Gravestones|44.0|0|5
218|Poppy - Aristocrat|44.0|2|3
219|Charli XCX - Girls Night Out|43.5|0|9
