Rank|Song|Total Points|Number Ones|Total Listeners
288|Odesza - Say My Name (feat. Zyra)|30.0|2|2
289|Kids See Ghosts - Feel The Love|29.5|0|8
290|Carly Rae Jepsen - Boy Problems|29.5|0|7
290|Dua Lipa - New Rules|29.5|0|7
292|Childish Gambino - Summertime Magic|29.5|0|6
292|Taylor Swift - ...Ready For It?|29.5|0|6
294|Galantis - Satisfied (feat. MAX)|29.5|0|4
294|Kacey Musgraves - Wonder Woman|29.5|0|4
294|Taylor Swift - Wildest Dreams|29.5|0|4
297|Ariana Grande - Break Free|29.5|1|3
297|Tame Impala - The Less I Know The Better|29.5|1|3
299|Red Velvet - With You|29.5|0|3
300|Vampire Weekend - California English Pt. 2|29.0|0|7
301|The 1975 - Give Yourself A Try|29.0|0|6
302|Janelle Monáe - Crazy, Classic, Life|29.0|1|4
303|Meghan Trainor - Treat Myself|29.0|0|4
304|Charli XCX - Dreamer|29.0|0|3
304|Years & Years - Karma|29.0|0|3
306|Old Dominion - Bad At Love - Recorded at Sound Stage Studios Nashville|29.0|1|2
307|Lorde - Perfect Places|28.5|0|9
308|Janelle Monáe - Make Me Feel|28.5|0|7
308|Kali Uchis - Tyrant (feat. Jorja Smith)|28.5|0|7
310|Carly Rae Jepsen - Emotion|28.5|0|6
311|Frank Ocean - Nikes|28.5|0|4
311|Gabbie Hanna - Honestly|28.5|0|4
311|Paramore - crushcrushcrush|28.5|0|4
314|Sophie - Is It Cold In The Water?|28.5|1|3
315|Demi Lovato - Heart Attack|28.5|0|3
315|Girls Aloud - On The Metro|28.5|0|3
315|Iggy Azalea - Survive The Summer|28.5|0|3
315|Lykke Li - sex money feelings die|28.5|0|3
315|TWICE - LIKEY|28.5|0|3
320|Sophie - Faceshopping|28.0|0|6
321|Lily Allen - Smile|28.0|1|5
322|Hayley Kiyoko - What I Need (feat. Kehlani)|28.0|0|5
322|Trippie Redd - Missing My Idols|28.0|0|5
324|Foxing - Lich Prince|28.0|1|3
325|Alvvays - Archie, Marry Me|28.0|0|3
325|Mitski - Lonesome Love|28.0|0|3
325|RuPaul - Call Me Mother|28.0|0|3
328|G.E.M. - 倒數|28.0|1|2
