Rank|Song|Total Points|Number Ones|Total Listeners
207|Grimes - Kill V. Maim|38.5|0|8
208|Taylor Swift - Blank Space|38.5|0|4
209|LSD - Thunderclouds|38.0|0|7
210|Charli XCX - Delicious (feat. Tommy Cash)|38.0|0|6
211|Eric Church - The Snake|38.0|0|5
211|Kacey Musgraves - Slow Burn|38.0|0|5
213|Cast - Scene 98 - Dialogue|38.0|0|4
213|slayyyter - I'm High|38.0|0|4
215|Taylor Swift - New Romantics|37.5|1|8
216|BROCKHAMPTON - TAPE|37.5|1|6
217|Litany - Bedroom|37.5|0|5
217|The 1975 - Love It If We Made It|37.5|0|5
219|BTS - EUPHORIA|37.5|0|4
220|St. Vincent - Fast Slow Disco|37.0|0|6
221|BROCKHAMPTON - THUG LIFE|36.5|0|5
222|Hippo Campus - Bambi|36.5|0|4
222|Madonna - Frozen|36.5|0|4
224|BLACKPINK - DDU-DU DDU-DU|36.0|0|9
225|Red Velvet - Bad Boy - (English Version) (Bonus Track)|36.0|0|5
226|Lany - Malibu Nights|36.0|1|4
227|Carly Rae Jepsen - Warm Blood|35.5|1|4
228|Conan Gray - Generation Why|35.5|1|3
229|Kids See Ghosts - Cudi Montage|35.0|0|5
230|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|34.5|0|6
231|Hippo Campus - Why Even Try|34.5|0|4
231|LIL PEEP - Sunlight On Your Skin|34.5|0|4
233|Charli XCX - Secret (Shh)|34.5|0|3
234|The Carters - Apeshit|34.0|0|8
235|Janelle Monáe - I Like That|34.0|1|6
236|Kim Petras - Hills|34.0|0|6
236|Lorde - Supercut|34.0|0|6
238|Charli XCX - Porsche (feat. MØ)|34.0|0|5
238|Eric Church - Hangin' Around|34.0|0|5
240|AlunaGeorge - Famous|34.0|0|4
241|Blood Orange - Saint|33.5|0|5
241|Charli XCX - Drugs (feat. Abra)|33.5|0|5
243|Tessa Violet - Crush|33.5|0|3
244|Sophie - IMMATERIAL|33.0|0|7
245|Nile Rodgers & CHIC - I Want Your Love (feat. Lady Gaga)|33.0|0|6
246|Hayley Kiyoko - Curious|33.0|0|5
247|Loona - Favorite|33.0|0|4
248|Taylor Swift - Call It What You Want|32.5|0|10
249|Paramore - Rose-Colored Boy|32.5|0|6
250|Joji - CAN'T GET OVER YOU (feat. Clams Casino)|32.5|1|5
251|Pinegrove - Rings|32.0|1|6
252|Taylor Swift - All You Had To Do Was Stay|32.0|0|6
253|Bebe Rexha - I'm a Mess|32.0|0|5
253|Miley Cyrus - We Can't Stop|32.0|0|5
253|Pabllo Vittar - Seu Crime|32.0|0|5
256|Zedd & Elley Duhé - Happy Now|32.0|0|4
257|Troye Sivan - What a Heavenly Way To Die|31.5|0|7
258|Lany - If You See Her|31.5|0|6
259|Zedd, Maren Morris & Grey - The Middle|31.5|1|5
260|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|31.5|0|5
260|Nicki Minaj - Chun-Li|31.5|0|5
262|BROCKHAMPTON - WHERE THE CASH AT|31.0|0|5
262|Eminem - Lucky You (feat. Joyner Lucas)|31.0|0|5
262|Taylor Swift - This Is Why We Can't Have Nice Things|31.0|0|5
262|Troye Sivan - Animal|31.0|0|5
262|Troye Sivan - Postcard (feat. Gordi)|31.0|0|5
267|Charli XCX - Trophy|31.0|0|4
267|Emily Warren - Paranoid|31.0|0|4
267|Nicki Minaj - Barbie Dreams|31.0|0|4
270|Taylor Swift - Dress|30.5|0|8
271|Lil Baby - Business Is Business (Lil Baby & Gunna)|30.5|0|6
271|Sheck Wes - WESPN|30.5|0|6
273|Pinegrove - Intrepid|30.5|0|5
274|Lady Gaga - Just Dance|30.5|0|4
275|Ariana Grande - blazed (feat. Pharrell Williams)|30.0|0|10
276|Taylor Swift - End Game (feat. Ed Sheeran & Future)|30.0|0|7
277|Charli XCX - Taxi|30.0|0|4
277|Kacey Musgraves - Rainbow|30.0|0|4
279|Dean Lewis - Be Alright|30.0|1|3
280|The Aces - Lovin' Is Bible|30.0|0|3
281|Eric Church - Desperate Man|30.0|2|2
281|Fickle Friends - The Moment|30.0|2|2
283|Kacey Musgraves - Lonely Weekend|29.5|1|6
284|Eric Church - Some Of It|29.5|1|4
284|Mitski - Your Best American Girl|29.5|1|4
284|Nelly Furtado - Maneater|29.5|1|4
287|Clean Bandit - Solo (feat. Demi Lovato)|29.5|0|4
287|Sheck Wes - Vetements Socks|29.5|0|4
289|Jess Glynne - 123|29.5|0|3
289|Khalid & Normani - Love Lies|29.5|0|3
291|Troye Sivan - The Good Side|29.0|0|7
292|Camila Cabello - Never Be The Same|29.0|0|5
293|Carly Rae Jepsen - I Really Like You|29.0|0|4
293|Twenty One Pilots - Stressed Out|29.0|0|4
295|A$AP Rocky - Praise The Lord (Da Shine)|29.0|1|3
296|Unknown Mortal Orchestra - Hunnybee|29.0|1|2
297|Taylor Swift - So It Goes...|28.5|0|7
298|Lil' Wayne - Dark Side Of The Moon (feat. Nicki Minaj)|28.5|0|5
299|Aminé - REEL IT IN|28.5|1|4
300|Beyoncé - Partition|28.5|0|4
300|Dua Lipa - New Rules|28.5|0|4
302|BTS - Airplane pt.2|28.5|1|3
302|Lana Del Rey - Money Power Glory|28.5|1|3
302|St. Vincent - New York|28.5|1|3
305|AlunaGeorge - Faulty|28.5|0|3
305|BTS - FAKE LOVE|28.5|0|3
307|Lenka - The Show|28.5|1|2
308|King Princess - Talia|28.0|0|4
308|Lorde - Liability (Reprise)|28.0|0|4
310|Cast - Somewhere Over The Rainbow - Dialogue|27.5|0|5
310|Eric Church - Hippie Radio|27.5|0|5
312|Kacey Musgraves - Follow Your Arrow|27.5|0|3
312|NoName - Self|27.5|0|3
312|TWICE - Dance The Night Away|27.5|0|3
315|Coldplay - Hymn for The Weekend|27.5|1|2
315|Rilo Kiley - A Better Son/Daughter|27.5|1|2
317|IU - Palette (feat. G-DRAGON)|27.5|0|2
318|Taylor Swift - Gorgeous|27.0|0|9
319|Lil Baby - Drip Too Hard|27.0|0|6
320|Christine and The Queens - 5 dollars|27.0|0|5
320|Lany - Taking Me Back|27.0|0|5
320|MØ - Imaginary Friend|27.0|0|5
323|AlunaGeorge - Shallow Water|27.0|0|4
323|Cardi B - I Like It (feat. Bad Bunny & J Balvin)|27.0|0|4
323|George Ezra - Shotgun|27.0|0|4
326|Olly Murs - Moves (feat. Snoop Dogg)|27.0|1|3
327|5 Seconds Of Summer - Valentine|27.0|0|3
327|Paramore - Still into You|27.0|0|3
327|Post Malone - Rockstar (feat. 21 Savage)|27.0|0|3
330|Christina Aguilera - Sick Of Sittin'|27.0|1|2
331|Dreamcatcher - wHAt|27.0|0|2
331|LOOΠΔ/yyxy - love4eva (feat. Grimes)|27.0|0|2
333|Beach House - Drunk in LA|26.5|0|4
334|Alesso - REMEDY|26.5|0|3
334|Pabllo Vittar - Vai Embora (feat. Ludmilla)|26.5|0|3
334|slayyyter - Ghost|26.5|0|3
334|Taylor Swift - Sad Beautiful Tragic|26.5|0|3
338|Ikon - GoOdByE RoAd|26.5|1|2
338|The Killers - Read My Mind|26.5|1|2
340|ESTRONS - Strangers|26.5|0|2
