Rank|Song|Total Points|Number Ones|Total Listeners
402|Rosalía - MALAMENTE - Cap.1: Augurio|25.5|0|4
402|Tommy Genesis - 100 Bad - Charli XCX Remix|25.5|0|4
407|Beyoncé - Haunted|25.5|1|3
408|5 Seconds Of Summer - Valentine|25.5|0|3
408|Janelle Monáe - Dirty Computer (feat. Brian Wilson)|25.5|0|3
408|Kacey Musgraves - Lonely Weekend|25.5|0|3
408|PRISTIN V - Get It|25.5|0|3
408|Yelle - Complètement Fou|25.5|0|3
413|Kim Petras - Hills - Recorded at Spotify Studios NYC|25.5|1|2
413|Rostam - Bike Dream|25.5|1|2
415|Nothing But Thieves - Take This Lonely Heart|25.5|0|2
416|Kanye West - Ghost Town (feat. PARTYNEXTDOOR)|25.0|0|6
417|BROCKHAMPTON - New Orleans|25.0|0|5
418|Florence + The Machine - Hunger|25.0|0|4
419|Fall Out Boy - Sugar, We're Goin Down|25.0|0|3
420|Frank Ocean - Hublots|25.0|1|2
420|I.O.I - Very Very Very|25.0|1|2
422|Brent Faiyaz - Trust|25.0|0|2
422|Róisín Murphy - World's Crazy|25.0|0|2
422|Tove Lo - Vibes (feat. Joe Janiak)|25.0|0|2
425|Sia - Thunderclouds (with Sia, Diplo & Labrinth)|24.5|0|6
426|Lorde - Liability (Reprise)|24.5|0|5
426|St. Vincent - Masseduction|24.5|0|5
426|Taylor Swift - Out Of The Woods|24.5|0|5
429|Cloud Nothings - Leave Him Now|24.5|0|4
430|Dominic Fike - King Of Everything|24.5|0|2
430|Neneh Cherry - Buffalo Stance|24.5|0|2
430|Nicki Minaj - Hard White|24.5|0|2
430|Rina Sawayama - Cyber Stockholm Syndrome|24.5|0|2
434|BROCKHAMPTON - WEIGHT|24.0|0|5
435|Jess Glynne - Intro|24.0|0|4
435|Mitski - Washing Machine Heart|24.0|0|4
435|NCT 127 - Come Back|24.0|0|4
435|Sabrina Carpenter - Lie For Love|24.0|0|4
439|Kali Uchis - In My Dreams|24.0|0|3
439|Mac Miller - Self Care|24.0|0|3
439|Taylor Swift - This Is Why We Can't Have Nice Things|24.0|0|3
439|The Weeknd - Call Out My Name|24.0|0|3
443|Charly Bliss - DQ|24.0|1|2
444|Kate Bush - The Sensual World|24.0|0|2
444|Lil Xan - Lies (feat. Lil Skies)|24.0|0|2
446|Future - Transformer (feat. Nicki Minaj)|23.5|0|7
